IP,Request,Status,Timestamp
192.168.1.10,GET /index.html,200,2025-09-18 10:01:23
192.168.1.11,POST /login,401,2025-09-18 10:01:45
192.168.1.12,GET /home,200,2025-09-18 10:02:10
192.168.1.10,POST /login,200,2025-09-18 10:02:30
192.168.1.13,GET /about,200,2025-09-18 10:02:55
192.168.1.11,POST /login,401,2025-09-18 10:03:15
192.168.1.11,POST /login,401,2025-09-18 10:03:30
192.168.1.14,GET /contact,200,2025-09-18 10:03:55
192.168.1.15,GET /dashboard,403,2025-09-18 10:04:20
192.168.1.11,POST /login,401,2025-09-18 10:04:45
192.168.1.11,POST /login,401,2025-09-18 10:05:05
192.168.1.10,GET /profile,200,2025-09-18 10:05:25
192.168.1.12,GET /settings,200,2025-09-18 10:05:40
192.168.1.11,POST /login,401,2025-09-18 10:06:00
192.168.1.16,GET /admin,403,2025-09-18 10:06:20
192.168.1.11,POST /login,401,2025-09-18 10:06:40
