IP,Request,Timestamp,Status
192.168.1.1,GET /index,2025-09-18 10:01,200
192.168.1.2,POST /login,2025-09-18 10:02,401
192.168.1.3,GET /home,2025-09-18 10:03,200
192.168.1.4,GET /about,2025-09-18 10:04,200
192.168.1.5,GET /contact,2025-09-18 10:05,200
192.168.1.2,POST /login,2025-09-18 10:06,401
192.168.1.6,GET /home,2025-09-18 10:07,200
192.168.1.7,GET /restricted,2025-09-18 10:08,403
192.168.1.8,GET /index,2025-09-18 10:09,200
192.168.1.9,POST /login,2025-09-18 10:10,401
192.168.1.10,GET /admin,2025-09-18 10:11,403
192.168.1.11,GET /about,2025-09-18 10:12,200
192.168.1.12,GET /index,2025-09-18 10:13,200
192.168.1.2,POST /login,2025-09-18 10:14,401
192.168.1.10,POST /login,2025-09-18 10:15,401
192.168.1.13,GET /contact,2025-09-18 10:16,200
192.168.1.14,GET /home,2025-09-18 10:17,200
192.168.1.15,GET /index,2025-09-18 10:18,200
192.168.1.16,GET /about,2025-09-18 10:19,200
192.168.1.17,GET /index,2025-09-18 10:20,200
192.168.1.18,POST /login,2025-09-18 10:21,401
192.168.1.19,GET /restricted,2025-09-18 10:22,403
192.168.1.20,GET /index,2025-09-18 10:23,200
192.168.1.10,POST /login,2025-09-18 10:24,401
192.168.1.2,POST /login,2025-09-18 10:25,401
192.168.1.8,GET /home,2025-09-18 10:26,200
192.168.1.6,GET /index,2025-09-18 10:27,200
192.168.1.5,GET /about,2025-09-18 10:28,200
192.168.1.7,GET /admin,2025-09-18 10:29,403
192.168.1.3,GET /index,2025-09-18 10:30,200
192.168.1.4,GET /contact,2025-09-18 10:31,200
192.168.1.11,POST /login,2025-09-18 10:32,401
192.168.1.12,GET /home,2025-09-18 10:33,200
192.168.1.15,GET /about,2025-09-18 10:34,200
192.168.1.18,POST /login,2025-09-18 10:35,401
192.168.1.19,GET /index,2025-09-18 10:36,200
192.168.1.20,GET /contact,2025-09-18 10:37,200
192.168.1.14,GET /index,2025-09-18 10:38,200
192.168.1.16,GET /restricted,2025-09-18 10:39,403
192.168.1.13,GET /index,2025-09-18 10:40,200
192.168.1.17,POST /login,2025-09-18 10:41,401
192.168.1.2,POST /login,2025-09-18 10:42,401
192.168.1.10,POST /login,2025-09-18 10:43,401
192.168.1.8,GET /about,2025-09-18 10:44,200
192.168.1.7,GET /restricted,2025-09-18 10:45,403
192.168.1.5,GET /index,2025-09-18 10:46,200
192.168.1.6,GET /home,2025-09-18 10:47,200
192.168.1.19,GET /index,2025-09-18 10:48,200
192.168.1.20,POST /login,2025-09-18 10:49,401
